EVENTGROUPINGATTRIBUTE|VALUE|NAME
303|1446078376000|Start Time
304|Norwin|Location
304|1446004800000|Start Date
304|1446079842000|Start Time
305|Norwin|Location
305|1446004800000|Start Date
305|1446081064000|Start Time
306|NA|Location
306|NA Tournament|Name
309|NA|Location
309|1458964800000|Start Date
309|Montour|opponent
310|NA|Location
310|1458964800000|Start Date
310|1458998300000|Start Time
311|NA|Location
311|1458964800000|Start Date
311|1458999497000|Start Time
312|NA|Location
312|1458964800000|Start Date
312|Penn Trafford|opponent
313|NA|Location
313|1458964800000|Start Date
313|1459001348000|Start Time
314|NA|Location
314|1458964800000|Start Date
314|1459002303000|Start Time
315|NA|Location
315|1458964800000|Start Date
315|Penn Hills|opponent
316|NA|Location
316|1458964800000|Start Date
316|1459006139000|Start Time
317|NA|Location
317|1458964800000|Start Date
317|1459007294000|Start Time
318|NA|Location
318|1458964800000|Start Date
318|Plum|opponent
319|NA|Location
319|1458964800000|Start Date
319|1459014315000|Start Time
320|NA|Location
320|1458964800000|Start Date
320|1459015560000|Start Time
321|NA|Location
321|1458964800000|Start Date
321|North Hills |opponent
322|NA|Location
322|1458964800000|Start Date
322|1459020040000|Start Time
323|NA|Location
323|1458964800000|Start Date
323|1459020824000|Start Time
324|NA|Location
324|1458964800000|Start Date
324|Montour|opponent
325|NA|Location
325|1458964800000|Start Date
325|1459021832000|Start Time
326|NA|Location
326|1458964800000|Start Date
326|NA|opponent
327|NA|Location
327|1458964800000|Start Date
327|1459024808000|Start Time
328|NA|Location
328|1458964800000|Start Date
328|Penn Trafford|opponent
329|NA|Location
329|1458964800000|Start Date
329|1459026616000|Start Time
330|Butler|Location
330|1459224000000|Start Date
330|Butler|opponent
331|Butler|Location
331|1459224000000|Start Date
331|1459292946000|Start Time
332|Butler|Location
332|1459224000000|Start Date
332|1459294603000|Start Time
333|Butler|Location
333|1459224000000|Start Date
333|1459295852000|Start Time
334|Butler|Location
334|1459224000000|Start Date
334|1459297225000|Start Time
335|Butler|Location
335|1459224000000|Start Date
335|1459298875000|Start Time
336|FC|Location
336|1459396800000|Start Date
336|NA|opponent
337|FC|Location
337|1459396800000|Start Date
337|1459465400000|Start Time
338|FC|Location
338|1459396800000|Start Date
338|1459466898000|Start Time
339|FC|Location
339|1459396800000|Start Date
339|1459468265000|Start Time
340|Derry|Location
340|Derry|Name
341|Derry|Location
341|1459569600000|Start Date
341|West Shamokin|opponent
342|Derry|Location
342|1459569600000|Start Date
342|1459600750000|Start Time
343|Derry|Location
343|1459569600000|Start Date
343|1459601652000|Start Time
344|Derry|Location
344|1459569600000|Start Date
344|Huntington|opponent
345|Derry|Location
345|1459569600000|Start Date
345|1459609012000|Start Time
346|Derry|Location
346|1459569600000|Start Date
346|1459610402000|Start Time
347|Derry|Location
347|1459569600000|Start Date
347|Latrobe|opponent
348|Derry|Location
348|1459569600000|Start Date
348|1459617783000|Start Time
349|Derry|Location
349|1459569600000|Start Date
349|1459619447000|Start Time
350|Derry|Location
350|1459569600000|Start Date
350|NA|opponent
351|Derry|Location
351|1459569600000|Start Date
351|1459623743000|Start Time
352|Derry|Location
352|1459569600000|Start Date
352|1459625344000|Start Time
353|Derry|Location
353|1459569600000|Start Date
353|Montour|opponent
354|Derry|Location
354|1459569600000|Start Date
354|1459631619000|Start Time
355|Derry|Location
355|1459569600000|Start Date
355|Norwin|opponent
356|Derry|Location
356|1459569600000|Start Date
356|1459632849000|Start Time
357|Pine Richland|Location
357|1459828800000|Start Date
357|Pine Richland|opponent
358|Pine Richland|Location
358|1459828800000|Start Date
358|1459898122000|Start Time
359|Pine Richland|Location
359|1459828800000|Start Date
359|1459899805000|Start Time
360|Pine Richland|Location
360|1459828800000|Start Date
360|1459901371000|Start Time
361|Pine Richland|Location
361|1459828800000|Start Date
361|1459903175000|Start Time
362|FC|Location
362|1460001600000|Start Date
362|Shaler|opponent
